Station,Latitude,Longitude,Date,Time,Parameter,Result,Units,Rainfall in Last 24 hours,Tide Stage,Weather,Wind/Current Direction
CCI,32.762765,-79.856175,2017-06-28,0950,Enterococci,20,MPN/100 mL,0.00,3/4 flood,fair,E
CCI,32.762765,-79.856175,2017-07-05,1055,Enterococci,10,MPN/100 mL,0.00,3/4 ebb,clear,SW
CCI,32.762765,-79.856175,2017-07-12,0928,Enterococci,10,MPN/100 mL,0.00,3/4 flood,clear,calm
CCI,32.762765,-79.856175,2017-07-19,0955,Enterococci,171,MPN/100 mL,0.00,ebb,fair,calm
CCI,32.762765,-79.856175,2017-07-26,0937,Enterococci,31,MPN/100 mL,0.08,3/4 flood,cloud,calm
CCI,32.762765,-79.856175,2017-08-02,0941,Enterococci,73,MPN/100 mL,0.00,3/4 ebb,fair,NE
CCI,32.762765,-79.856175,2017-08-09,0958,Enterococci,10,MPN/100 mL,0.34,flood,cloud,N
CCI,32.762765,-79.856175,2017-08-16,1043,Enterococci,30,MPN/100 mL,0.00,1/4 flood,clear,calm
CCI,32.762765,-79.856175,2017-08-23,0928,Enterococci,10,MPN/100 mL,0.00,flood,fair,SW
CCI,32.762765,-79.856175,2017-08-30,1012,Enterococci,96,MPN/100 mL,0.00,1/4 flood,cloud,N
CCI,32.762765,-79.856175,2017-09-06,0930,Enterococci,388,MPN/100 mL,0.98,1/4 ebb,rain,W
CCI,32.762765,-79.856175,2017-09-14,0947,Enterococci,307,MPN/100 mL,0.00,ebb,clear,SW
CCI,32.762765,-79.856175,2017-09-20,1006,Enterococci,30,MPN/100 mL,0.00,flood,clear,S
CCI,32.762765,-79.856175,2017-09-27,1040,Enterococci,10,MPN/100 mL,0.00,1/2 flood,clear,NW
CCI,32.762765,-79.856175,2017-10-04,1004,Enterococci,41,MPN/100 mL,0.00,1/2 ebb,clear,NE
CCI,32.762765,-79.856175,2017-10-11,0955,Enterococci,10,MPN/100 mL,0.00,1/2 flood,fair,calm
CCI,32.762765,-79.856175,2017-10-18,0950,Enterococci,10,MPN/100 mL,0.00,1/4 ebb,clear,N
CCI,32.762765,-79.856175,2017-10-25,1004,Enterococci,52,MPN/100 mL,0.00,1/2 flood,clear,W
CCI,32.762765,-79.856175,2018-05-02,1033,Enterococci,10,MPN/100 mL,0.00,full flood,clear,S
CCI,32.762765,-79.856175,2018-05-09,1010,Enterococci,41,MPN/100 mL,0.00,full ebb,fair,WNW
CCI,32.762765,-79.856175,2018-05-16,1022,Enterococci,10,MPN/100 mL,0.01,full flood,fair,S
CCI,32.762765,-79.856175,2018-05-23,1025,Enterococci,31,MPN/100 mL,0.00,full ebb,rain,SW
CCI,32.762765,-79.856175,2018-05-30,0903,Enterococci,146,MPN/100 mL,0.58,full flood,cloud,calm
CCI,32.762765,-79.856175,2018-06-06,1017,Enterococci,10,MPN/100 mL,0.00,1/4 flood,fair,SW
CCI,32.762765,-79.856175,2018-06-13,1020,Enterococci,10,MPN/100 mL,0.11,1/2 ebb,cloud,NW
CCI,32.762765,-79.856175,2018-06-20,1026,Enterococci,10,MPN/100 mL,0.00,1/4 flood,clear,calm
CCI,32.762765,-79.856175,2018-06-27,1048,Enterococci,31,MPN/100 mL,0.00,1/2 ebb,fair,E
CCI,32.762765,-79.856175,2018-07-02,1015,Enterococci,10,MPN/100 mL,0.00,full flood,fair,calm
CCI,32.762765,-79.856175,2018-07-11,1025,Enterococci,30,MPN/100 mL,0.00,1/2 ebb,fair,SW
CCI,32.762765,-79.856175,2018-07-18,0859,Enterococci,473,MPN/100 mL,0.26,1/4 flood,cloud,SW
CCI,32.762765,-79.856175,2018-07-25,1022,Enterococci,63,MPN/100 mL,0.07,1/2 ebb,cloud,SW
CCI,32.762765,-79.856175,2018-08-01,1024,Enterococci,62,MPN/100 mL,0.42,3/4 flood,cloud,S
CCI,32.762765,-79.856175,2018-08-08,1005,Enterococci,10,MPN/100 mL,0.00,3/4 ebb,clear,SW
CCI,32.762765,-79.856175,2018-08-15,1023,Enterococci,10,MPN/100 mL,0.22,3/4 flood,clear,calm
CCI,32.762765,-79.856175,2018-08-22,1030,Enterococci,10,MPN/100 mL,0.00,3/4 ebb,fair,SW
CCI,32.762765,-79.856175,2018-08-29,1017,Enterococci,10,MPN/100 mL,0.00,full flood,clear,calm
CCI,32.762765,-79.856175,2018-09-05,1016,Enterococci,20,MPN/100 mL,0.00,full ebb,fair,NE
CCI,32.762765,-79.856175,2018-09-19,1023,Enterococci,85,MPN/100 mL,0.00,full ebb,clear,calm
CCI,32.762765,-79.856175,2018-09-26,0940,Enterococci,10,MPN/100 mL,0.00,full flood,clear,W
CCI,32.762765,-79.856175,2018-10-03,1027,Enterococci,10,MPN/100 mL,0.00,1/4 flood,fair,N
CCI,32.762765,-79.856175,2018-10-12,1012,Enterococci,20,MPN/100 mL,0.00,3/4 flood,clear,NW
CCI,32.762765,-79.856175,2018-10-17,1044,Enterococci,20,MPN/100 mL,0.00,1/4 flood,fair,NW
CCI,32.762765,-79.856175,2018-10-24,1121,Enterococci,10,MPN/100 mL,0.00,1/2 ebb,clear,N
CCI,32.762765,-79.856175,2018-10-31,1040,Enterococci,10,MPN/100 mL,0.00,1/2 flood,clear,N
CCI,32.762765,-79.856175,2019-05-08,1052,Enterococci,20,MPN/100 mL,0.00,full flood,clear,E
CCI,32.762765,-79.856175,2019-05-15,1029,Enterococci,145,MPN/100 mL,0.00,3/4 ebb,clear,NE
CCI,32.762765,-79.856175,2019-05-22,1043,Enterococci,10,MPN/100 mL,0.00,3/4 flood,fair,SE
CCI,32.762765,-79.856175,2019-05-29,1022,Enterococci,41,MPN/100 mL,0.00,full ebb,clear,W
CCI,32.762765,-79.856175,2019-06-05,1024,Enterococci,10,MPN/100 mL,0.05,full flood,cloud,SE
CCI,32.762765,-79.856175,2019-06-13,1015,Enterococci,74,MPN/100 mL,3.24,3/4 ebb,cloud,SW
CCI,32.762765,-79.856175,2019-06-19,0920,Enterococci,10,MPN/100 mL,0.00,3/4 flood,cloud,SW
CCI,32.762765,-79.856175,2019-06-26,0901,Enterococci,10,MPN/100 mL,0.00,full ebb,clear,N
CCI,32.762765,-79.856175,2019-07-01,0903,Enterococci,31,MPN/100 mL,0.00,1/4 ebb,clear,NW
CCI,32.762765,-79.856175,2019-07-10,0915,Enterococci,10,MPN/100 mL,0.02,full ebb,cloud,E
CCI,32.762765,-79.856175,2019-07-17,0906,Enterococci,30,MPN/100 mL,0.00,1/4 ebb,clear,calm
CCI,32.762765,-79.856175,2019-07-24,0828,Enterococci,958,MPN/100 mL,1.12,full ebb,cloud,N
CCI,32.762765,-79.856175,2019-08-07,0857,Enterococci,10,MPN/100 mL,0.00,full ebb,clear,calm
CCI,32.762765,-79.856175,2019-08-14,0904,Enterococci,20,MPN/100 mL,0.00,full flood,cloud,SW
CCI,32.762765,-79.856175,2019-08-28,0905,Enterococci,10,MPN/100 mL,0.00,1/4 ebb,cloud,calm
CCI,32.762765,-79.856175,2019-09-11,0922,Enterococci,30,MPN/100 mL,0.02,1/2 ebb,fair,NE
CCI,32.762765,-79.856175,2019-09-18,0925,Enterococci,10,MPN/100 mL,0.00,3/4 flood,cloud,N
CCI,32.762765,-79.856175,2019-09-25,0913,Enterococci,52,MPN/100 mL,0.00,3/4 ebb,fair,calm
CCI,32.762765,-79.856175,2019-10-02,0930,Enterococci,62,MPN/100 mL,0.00,3/4 flood,clear,calm
CCI,32.762765,-79.856175,2019-10-09,1017,Enterococci,10,MPN/100 mL,0.00,3/4 ebb,cloud,NE
CCI,32.762765,-79.856175,2019-10-17,1031,Enterococci,10,MPN/100 mL,0.07,full flood,fair,W
CCI,32.762765,-79.856175,2019-10-23,1005,Enterococci,41,MPN/100 mL,0.00,full ebb,fair,NW
CCI,32.762765,-79.856175,2019-10-30,1036,Enterococci,20,MPN/100 mL,0.00,full flood,cloud,N
CH1,32.754981,-79.916121,2017-05-03,0923,Enterococci,20,MPN/100 mL,0.00,ebb,clear,S
CH1,32.754981,-79.916121,2017-05-10,0843,Enterococci,10,MPN/100 mL,0.00,clear,flood,NW
CH1,32.754981,-79.916121,2017-05-17,1037,Enterococci,10,MPN/100 mL,0.00,1/2 flood,fair,SW
CH1,32.754981,-79.916121,2017-05-24,0842,Enterococci,386,MPN/100 mL,3.10,1/4 ebb,fair,SW
CH1,32.754981,-79.916121,2017-05-31,0840,Enterococci,20,MPN/100 mL,0.00,ebb,fair,calm
CH1,32.754981,-79.916121,2017-06-07,0841,Enterococci,354,MPN/100 mL,3.25,1/4 ebb,rain,NE
CH1,32.754981,-79.916121,2017-06-14,0910,Enterococci,10,MPN/100 mL,0.00,1/4 flood,fair,SW
CH1,32.754981,-79.916121,2017-06-21,0854,Enterococci,388,MPN/100 mL,0.65,1/4 ebb,cloud,SW
CH1,32.754981,-79.916121,2017-06-28,0849,Enterococci,10,MPN/100 mL,0.00,1/4 flood,clear,NE
CH1,32.754981,-79.916121,2017-07-05,0940,Enterococci,31,MPN/100 mL,0.00,1/2 ebb,clear,SW
CH1,32.754981,-79.916121,2017-07-12,0840,Enterococci,41,MPN/100 mL,0.00,3/4 flood,clear,calm
CH1,32.754981,-79.916121,2017-07-19,0906,Enterococci,41,MPN/100 mL,0.00,3/4 ebb,clear,calm
CH1,32.754981,-79.916121,2017-07-26,1104,Enterococci,158,MPN/100 mL,0.08,flood,cloud,NE
CH1,32.754981,-79.916121,2017-08-02,0843,Enterococci,96,MPN/100 mL,0.00,3/4 ebb,clear,calm
CH1,32.754981,-79.916121,2017-08-09,0834,Enterococci,20,MPN/100 mL,0.34,3/4 flood,cloud,W
CH1,32.754981,-79.916121,2017-08-16,0913,Enterococci,63,MPN/100 mL,0.00,3/4 ebb,clear,W
